02_mug,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,True,True,False,True,True,True
cut_object_crop,True,True,True,True,True,True,True,True
flipped_horizontal,True,False,False,True,True,True,True,True
flipped_vertical,True,True,True,True,False,False,False,False
good_crop,True,True,True,True,True,True,True,True
grayscale,True,False,False,True,True,True,True,True
high_quality,True,False,True,True,False,True,True,True
images_base,True,True,False,True,True,True,True,True
jpeg_artifacts,False,False,False,True,False,True,True,True
occluded,False,False,False,True,False,True,True,True
overexposed,True,False,False,True,True,True,True,True
rotated,True,True,True,True,False,True,True,True
salt_pepper_noise,False,False,False,True,False,True,True,True
tint_blue,True,False,False,True,True,True,True,True
tint_green,True,False,True,True,True,True,True,True
tint_red,True,True,False,True,True,True,True,True
underexposed,True,True,True,True,False,True,True,True
