,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
"Act as a robotic assistant that identifies tools. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",32,34,25,40,29,27,26,28
Act as a robotic assistant that identifies tools. What is in your grip?,31,30,29,40,25,22,28,20
"Based on what you see, you must identify the object. Be concise, identify the object.",26,27,18,33,19,17,21,14
"Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",28,30,24,35,25,21,25,25
Identify the item in the image,26,33,21,30,25,24,25,17
Ignore the robotic arm. Focus only on the object being held. Identify it.,29,33,23,39,25,26,26,22
What is the object in the image? Answer with a single word.,18,11,13,23,12,11,11,11
"What is the object in the image? Ignore the robot arm, focus on the object, Answer with a single word.",22,22,23,32,17,22,20,23
"You are a robot. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",36,36,28,40,27,27,26,28
"You are a robot. Based on what you see, you must identify the object gripped in your robotic arm. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",35,34,26,42,28,25,27,28
"You are a robot. Based on what you see, you must identify the object. Be concise, identify the object.",27,32,24,37,24,13,25,22
"You are a robot. Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",29,31,27,36,27,22,25,26
"You are a robot. You are analyzing this image to detect the item held. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",34,33,27,41,27,24,26,26
"You are a robot. You are analyzing this image to detect the item held. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",34,34,31,37,28,26,28,30
"You are a robot. You are analyzing this image to detect the item held. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",33,34,28,40,28,25,27,30
You are a warehouse robot sorting objects. What are you holding?,34,35,28,38,17,26,23,21
"You are analyzing this image to detect the item held. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",35,33,29,41,27,24,26,28
You are analyzing this image to detect the item held. Disregard the arm or background clutter.,36,35,27,36,24,24,26,25
"You must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",30,29,25,37,26,23,26,24
Your task is to classify the item. Do not describe the robot or background.,31,33,24,33,22,27,25,24
