36_mouse,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,True,True,False,True,False,False,False,False
flipped_horizontal,True,True,True,False,False,False,False,False
flipped_vertical,False,False,False,False,False,False,False,False
good_crop,False,True,False,False,False,False,False,False
grayscale,False,False,False,False,False,False,False,False
high_quality,True,True,True,True,False,False,True,False
images_base,False,False,False,False,False,False,False,False
jpeg_artifacts,False,False,False,False,False,False,False,False
occluded,False,False,False,False,False,False,False,False
overexposed,False,False,False,False,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,False,False,False,False,False,False,False,False
tint_green,False,False,False,False,False,False,False,False
tint_red,False,False,False,False,False,False,False,False
underexposed,False,False,False,False,False,False,False,False
