29_cloth,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,False,False,True,False,False,True,True
cut_object_crop,False,True,False,False,True,False,True,True
flipped_horizontal,True,True,False,True,True,False,True,True
flipped_vertical,False,False,False,True,False,False,False,True
good_crop,True,True,True,True,True,False,True,False
grayscale,True,True,True,True,False,False,True,True
high_quality,True,True,False,True,False,False,True,True
images_base,True,True,True,True,True,False,True,True
jpeg_artifacts,True,True,False,True,False,False,True,True
occluded,True,False,False,True,True,False,True,True
overexposed,True,False,True,True,False,False,True,True
rotated,False,False,False,False,False,False,True,True
salt_pepper_noise,False,True,False,True,False,False,True,True
tint_blue,False,False,True,True,False,False,True,True
tint_green,False,True,False,True,False,False,True,True
tint_red,True,True,True,True,False,False,True,True
underexposed,False,True,True,True,False,False,True,True
