07_sponge,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,False,False,False,False,False,False,False
flipped_horizontal,False,True,False,False,False,False,False,True
flipped_vertical,True,True,False,True,False,False,True,True
good_crop,False,False,False,False,False,False,False,True
grayscale,True,True,False,False,False,False,False,False
high_quality,True,True,True,True,False,True,True,True
images_base,True,True,False,True,False,False,False,False
jpeg_artifacts,False,False,False,False,False,False,True,True
occluded,False,True,False,False,False,False,False,False
overexposed,False,False,False,True,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,True,False,False
tint_blue,True,True,False,True,False,False,False,False
tint_green,False,True,False,True,False,False,False,False
tint_red,False,True,False,True,False,False,True,False
underexposed,False,True,False,True,False,False,False,False
