14_plate,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,False,False,False
cut_object_crop,False,False,False,False,False,False,False,False
flipped_horizontal,True,False,False,True,False,False,False,False
flipped_vertical,False,True,False,False,False,False,False,False
good_crop,True,False,True,False,False,False,False,False
grayscale,False,True,False,False,False,False,False,False
high_quality,True,True,False,True,False,False,False,False
images_base,False,True,True,False,False,False,False,False
jpeg_artifacts,False,False,False,False,False,False,False,True
occluded,False,True,False,False,False,False,False,False
overexposed,False,False,False,False,False,False,False,True
rotated,True,True,False,True,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,False,False,False,False,False,False,False,False
tint_green,True,False,False,False,False,False,False,False
tint_red,True,False,False,False,False,False,False,False
underexposed,False,True,False,False,False,False,False,True
